Package                       Version
----------------------------- -------
fqdn                          1.5.1
isoduration                   20.11.0
jsonpointer                   3.1.1
jupyter                       1.1.1
jupyterlab_darkside_theme     0.1.2
jupyterlab-spreadsheet-editor 0.7.2
Pint                          0.25.3
pip                           26.1
rfc3987-syntax                1.1.0
rich                          15.0.0
scipy                         1.17.1
tinycss2                      1.4.0
uri-template                  1.3.0
webcolors                     25.10.0
